Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA10","5","45",".75855184224371097","4.9414849590940637","4.1966543949295971","","",".010172765131374495",".74483056416446658",".41400805431328963","1.0179477141950883",".11414576714213343","","","69.833242588800928","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA12","10","40",".069322622050862287","4.3270194682278138","4.2571669471256017","","",".8456915326589951",".069852521102212073",".99296745827276145","1.0110005837131353",".84538001268452501","","","79.167412322927774","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA13","11","39",".27421187187795232","4.4853094370679187","4.2107299681937196","","",".48383173100061105",".27457946887419915","1.1602724671217468",".95513098958686593",".42581213595436695","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA14","22","28",".42931131260937883","4.5079499209769462","4.0850705109217635","","",".15159833975037601",".4228794100551827","1.1153927485824002",".87021474887854444",".13839587405164902","","","69.833242588800928","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA15","23","27",".64445134605855758","4.6044872193367068","3.987172834168812","","",".031867699141603902",".61731438516789483","1.0896250254969411",".83025628823399866",".027660058595396279","","","36.880078127195048","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA16","17","33",".78978496583177771","4.76202113031768","4.0182579803606551","","",".022137687014714028",".74376314995702497","1.1030316844256789",".84967046524961742",".010994596094879431","","","21.989192189758867","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA17","10","40",".39201725165342188","3.9589723273773481","4.3491787323382187","","",".22050702593591201","-.39020640496087067",".82138866234491548","1.0313727107082979",".27304454934204486","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA18","16","34",".20027303475246092","4.1344756670758791","4.3354488792378865","","",".50681931262219349","-.20097321216200736",".97235008041922755","1.0173382304460463",".51202852919289177","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA19","4","46",".3797340805690661","4.621373569402655","4.240682136732425","","",".57247246114060624",".38069143267022998","1.1853665827036464",".98913037026809902",".46987349089623409","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA20","3","47",".065193095930383665","4.2093704950359401","4.2750800230254118","","",".88667887632259634","-.065709527989471717",".67840729424444457","1.0198359889494024",".91327993049763601","","","79.41564613022922","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA22","18","32",".088868109840321424","4.2138584180664704","4.3033569075658038","","",".75958111401860717","-.089498489499333367",".95744003227306962","1.0333102204106661",".76423833653226092","","","79.167412322927774","BRCA","GDSC2"
